subscriber_id,group_id,created_at,updated_at
4,10,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
4,97,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
1,13,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
1,52,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
18,152,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
18,160,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
18,163,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
4,98,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
5,26,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
6,50,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
6,58,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
6,147,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
6,148,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
7,2,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
8,7,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
9,4,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
9,49,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
9,93,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
10,55,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
10,162,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
11,30,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
12,9,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
13,64,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
14,15,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
14,54,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
15,17,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
16,143,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
19,89,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
19,155,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
16,151,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
20,164,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
21,167,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
22,6,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
22,66,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
22,104,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
22,127,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
3,23,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
22,3,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
23,8,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
24,16,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
24,68,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
25,18,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
25,25,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
25,28,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
25,32,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
25,33,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
25,34,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
25,35,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
25,56,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
25,111,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
26,20,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
27,29,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
30,48,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
31,51,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
32,65,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
33,73,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
28,41,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
28,69,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
28,70,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
28,74,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
28,102,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
29,43,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
29,57,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
29,75,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
29,153,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
29,154,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
29,161,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
3,1,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
3,47,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
3,128,2025-08-19 16:21:09.994802+00,2025-08-19 16:21:09.994802+00
